psetID,taskID,taskName,student,timestamp
ps01,task1,debugNumsFixed,s050,20190204-194155
ps01,task1,debugNumsFixed,s050,20190205-145223
ps01,task1,debugNumsFixed,s051,20190205-205310
ps01,task1,debugNumsFixed,s051,20190205-210140
ps01,task1,debugNumsFixed,s051,20190205-210834
ps01,task1,debugNumsFixed,s051,20190205-211322
ps01,task1,debugNumsFixed,s051,20190205-212649
ps01,task1,debugNumsFixed,s052,20190204-205204
ps01,task1,debugNumsFixed,s053,20190131-155512
ps01,task1,debugNumsFixed,s053,20190131-155558
ps01,task1,debugNumsFixed,s053,20190131-155702
ps01,task1,debugNumsFixed,s053,20190131-160115
ps01,task1,debugNumsFixed,s053,20190205-001047
ps01,task1,debugNumsFixed,s053,20190205-001857
ps01,task1,debugNumsFixed,s054,20190205-004244
ps01,task1,debugNumsFixed,s054,20190205-004538
ps01,task1,debugNumsFixed,s054,20190205-004806
ps01,task1,debugNumsFixed,s054,20190205-005117
ps01,task1,debugNumsFixed,s055,20190204-151333
ps01,task1,debugNumsFixed,s055,20190204-152558
ps01,task1,debugNumsFixed,s055,20190204-152722
ps01,task1,debugNumsFixed,s055,20190204-152902
ps01,task1,debugNumsFixed,s055,20190204-153647
ps01,task1,debugNumsFixed,s055,20190204-154111
ps01,task1,debugNumsFixed,s055,20190205-104401
ps01,task1,debugNumsFixed,s056,20190204-204250
ps01,task1,debugNumsFixed,s056,20190204-205234
ps01,task1,debugNumsFixed,s056,20190204-205655
ps01,task1,debugNumsFixed,s056,20190205-130843
ps01,task1,debugNumsFixed,s057,20190204-202235
ps01,task1,debugNumsFixed,s057,20190204-203809
ps01,task1,debugNumsFixed,s057,20190204-212115
ps01,task1,debugNumsFixed,s057,20190204-213132
ps01,task1,debugNumsFixed,s058,20190204-182904
ps01,task1,debugNumsFixed,s058,20190204-183950
ps01,task1,debugNumsFixed,s058,20190205-141101
ps01,task1,debugNumsFixed,s059,20190204-193910
ps01,task1,debugNumsFixed,s059,20190204-233032
ps01,task1,debugNumsFixed,s059,20190205-123300
ps01,task1,debugNumsFixed,s059,20190205-124014
ps01,task1,debugNumsFixed,s059,20190205-124153
ps01,task1,debugNumsFixed,s059,20190205-124313
ps01,task1,debugNumsFixed,s059,20190205-124548
ps01,task1,debugNumsFixed,s059,20190205-124723
ps01,task1,debugNumsFixed,s059,20190205-134723
ps01,task1,debugNumsFixed,s059,20190205-134828
ps01,task1,debugNumsFixed,s059,20190205-135000
