title,url,source,time,query,position,moment
"Klobuchar: 'Of course we're willing to work with' Republicans to avoid 
shutdown | TheHill",https://thehill.com/homenews/sunday-talk-shows/421595-klobuchar-of-course-were-willing-to-work-with-republicans-to-avoid,TheHill,1 day ago,Amy Klobuchar,5,2018-12-17 18:00:00
Klobuchar: Dem nominee in 2020 needs understanding of 'left behind' voters,https://www.politico.com/story/2018/12/14/klobuchar-dem-nominee-2020-left-behind-voters-1065225,Politico,3 days ago,Amy Klobuchar,10,2018-12-17 18:00:00
Could an Amy Klobuchar Solve Democrats’ Dilemma?,https://www.wsj.com/articles/could-an-amy-klobuchar-solve-democrats-dilemma-11545056133,The Wall Street Journal,9 hours ago,Amy Klobuchar,2,2018-12-17 18:00:00
Could an Amy Klobuchar Solve Democrats’ Dilemma?,https://www.wsj.com/articles/could-an-amy-klobuchar-solve-democrats-dilemma-11545056133,Wall Street Journal,15 hours ago,Amy Klobuchar,5,2018-12-18 00:00:00
"Transcript: Sen. Amy Klobuchar on ""Face the Nation,"" December 16, 2018",https://www.cbsnews.com/news/transcript-sen-amy-klobuchar-on-face-the-nation-december-16-2018/,CBS News,1 day ago,Amy Klobuchar,9,2018-12-18 00:00:00
Klobuchar calls ObamaCare ruling 'absurd' | TheHill,https://thehill.com/homenews/sunday-talk-shows/421590-klobuchar-calls-ruling-against-obamacare-absurd,The Hill,1 day ago,Amy Klobuchar,10,2018-12-18 00:00:00
Iowa Poll: Dem Sen. Klobuchar Leaps Into WH Contention,https://www.newsmax.com/newsfront/amy-klobuchar-2020-white-house-presidential-candidate/2018/12/17/id/894835/,Newsmax.com,2 hours ago,Amy Klobuchar,3,2018-12-18 00:00:00
"Klobuchar: 'Of course we're willing to work with' Republicans to avoid 
shutdown | TheHill",https://thehill.com/homenews/sunday-talk-shows/421595-klobuchar-of-course-were-willing-to-work-with-republicans-to-avoid,TheHill,1 day ago,Amy Klobuchar,8,2018-12-18 00:00:00
"Amy Klobuchar on ""Face the Nation"": ""Absurd"" Obamacare ruling would set 
health care ""on fire""",https://www.cbsnews.com/news/amy-klobuchar-on-face-the-nation-absurd-obamacare-ruling-would-set-health-care-on-fire/,CBS News,1 day ago,Amy Klobuchar,7,2018-12-18 00:00:00
Poll: Klobuchar rising in Iowa,https://www.politico.com/story/2018/12/17/poll-klobuchar-rising-in-iowa-1067256,Politico,9 hours ago,Amy Klobuchar,1,2018-12-18 00:00:00
