Rank,Name,Pct.,Rank,Num.,Pct.
172,Palmer,0.05%,-14,"+6,194",+4.1%
173,Wagner,0.05%,-21,"+1,279",+0.8%
174,Black,0.05%,-14,"+4,552",+3.0%
175,Robertson,0.05%,-16,"+3,367",+2.2%
176,Boyd,0.05%,-12,"+3,993",+2.7%
177,Rose,0.05%,-9,"+6,473",+4.4%
178,Stone,0.05%,-16,"+3,527",+2.4%
179,Salazar,0.05%,+61,"+39,235",+34.6%
180,Fox,0.05%,-13,"+4,977",+3.4%
181,Warren,0.05%,-15,"+4,241",+2.9%
182,Mills,0.05%,-17,"+4,033",+2.7%
183,Meyer,0.05%,-20,"+1,231",+0.8%
184,Rice,0.05%,-15,"+3,060",+2.1%
185,Schmidt,0.05%,-14,"+1,469",+1.0%
186,Garza,0.05%,+34,"+22,875",+18.4%
187,Daniels,0.05%,-7,"+7,794",+5.6%
188,Ferguson,0.05%,-15,"+4,170",+2.9%
189,Nichols,0.05%,-15,"+3,648",+2.6%
190,Stephens,0.05%,-9,"+5,904",+4.3%
191,Soto,0.05%,+66,"+37,820",+35.5%
192,Weaver,0.05%,-13,"+5,026",+3.6%
193,Ryan,0.05%,-16,"+4,117",+3.0%
194,Gardner,0.05%,-12,"+4,234",+3.1%
195,Payne,0.05%,-12,"+4,573",+3.3%
196,Grant,0.05%,-4,"+8,243",+6.1%
197,Dunn,0.05%,-12,"+4,472",+3.3%
198,Kelley,0.05%,-14,"+3,138",+2.3%
199,Spencer,0.05%,-10,"+5,508",+4.1%
200,Hawkins,0.05%,-9,"+5,685",+4.2%
201,Arnold,0.05%,-14,"+2,578",+1.9%
202,Pierce,0.05%,-16,"+2,112",+1.5%
203,Vazquez,0.05%,+125,"+53,396",+62.9%
204,Hansen,0.05%,-11,"+4,503",+3.4%
205,Peters,0.05%,-15,"+3,282",+2.4%
206,Santos,0.05%,+73,"+38,239",+38.6%
207,Hart,0.05%,-11,"+4,718",+3.6%
208,Bradley,0.05%,-8,"+5,431",+4.1%
209,Knight,0.05%,-10,"+4,853",+3.7%
210,Elliott,0.05%,-13,"+3,308",+2.5%
211,Cunningham,0.05%,-13,"+3,822",+2.9%
212,Duncan,0.05%,-9,"+4,768",+3.7%
213,Armstrong,0.05%,-9,"+5,062",+3.9%
214,Hudson,0.05%,-12,"+4,170",+3.2%
215,Carroll,0.05%,-14,"+3,297",+2.5%
216,Lane,0.05%,-7,"+5,500",+4.3%
217,Riley,0.05%,-7,"+5,912",+4.6%
218,Andrews,0.05%,-12,"+4,479",+3.5%
219,Alvarado,0.05%,+75,"+39,778",+42.4%
220,Ray,0.05%,-12,"+4,377",+3.4%
221,Delgado,0.05%,+61,"+34,310",+34.8%
222,Berry,0.05%,-17,"+3,407",+2.6%
223,Perkins,0.05%,-11,"+4,489",+3.5%
224,Hoffman,0.05%,-29,"-1,244",-0.90%
225,Johnston,0.05%,-18,"+2,438",+1.9%
226,Matthews,0.05%,-9,"+6,464",+5.2%
227,Pena,0.04%,+57,"+32,431",+33.0%
228,Richards,0.04%,-13,"+4,876",+3.9%
229,Contreras,0.04%,+70,"+37,504",+40.5%
230,Willis,0.04%,-14,"+4,525",+3.6%
231,Carpenter,0.04%,-20,"+2,825",+2.2%
232,Lawrence,0.04%,-13,"+5,378",+4.3%
233,Sandoval,0.04%,+54,"+32,645",+33.9%
234,Guerrero,0.04%,+57,"+34,525",+36.7%
235,George,0.04%,-8,"+8,847",+7.4%
236,Chapman,0.04%,-18,"+3,325",+2.7%
237,Rios,0.04%,+48,"+31,225",+32.3%
238,Estrada,0.04%,+60,"+34,639",+37.3%
239,Ortega,0.04%,+57,"+34,125",+36.6%
240,Watkins,0.04%,-18,"+4,636",+3.8%
241,Greene,0.04%,-13,"+6,497",+5.4%
242,Nunez,0.04%,+64,"+35,142",+39.0%
243,Wheeler,0.04%,-20,"+3,374",+2.8%
244,Valdez,0.04%,+39,"+26,385",+26.8%
245,Harper,0.04%,-19,"+4,593",+3.8%
246,Burke,0.04%,-17,"+3,702",+3.1%
247,Larson,0.04%,-23,"+1,523",+1.3%
248,Santiago,0.04%,+54,"+31,245",+34.3%
249,Maldonado,0.04%,+67,"+33,510",+38.1%
250,Morrison,0.04%,-19,"+3,191",+2.7%
251,Franklin,0.04%,-15,"+5,762",+5.0%
252,Carlson,0.04%,-27,+428,+0.4%
253,Austin,0.04%,-12,"+6,546",+5.8%
254,Dominguez,0.04%,+80,"+35,573",+42.5%
255,Carr,0.04%,-16,"+5,184",+4.6%
256,Lawson,0.04%,-21,"+3,867",+3.4%
257,Jacobs,0.04%,-24,"+3,074",+2.7%
258,Obrien,0.04%,-24,"+3,172",+2.7%
259,Lynch,0.04%,-22,"+3,260",+2.8%
260,Singh,0.04%,+136,"+44,107",+60.7%
261,Vega,0.04%,+57,"+28,945",+33.0%
