,crn,course,enrollment,meeting,days,dept
328,15648,ENG 302 - 01,10,3:30 PM - 6:10 PM,W,ENG
329,15768,ENG 324 - 01,10,9:55 AM - 11:10 AM,TF,ENG
330,15649,ENG 345 - 01,11,11:20 AM - 12:35 PM,TF,ENG
331,15143,ENG 375 - 01,5,2:20 PM - 3:35 PM,MR,ENG
332,13671,ENG 382 - 01,15,2:10 PM - 3:25 PM,TF,ENG
333,15041,ENG 387 - 01,13,12:45 PM - 2:00 PM,TF,ENG
334,15144,ENG 388 - 01,22,6:00 PM - 8:40 PM,W,ENG
335,13831,ENGR 111 - 01,16,8:30 AM - 11:10 AM,WF,ENGR
336,15663,ENGR 120 - 01,13,12:45 PM - 3:25 PM,TF,ENGR
337,15043,ES 100 - 01,30,2:10 PM - 3:25 PM 2:30 PM - 5:00 PM,F W,ES
338,14547,ES 102 - 01,24,9:55 AM - 11:10 AM,TF,ES
339,15650,ES 104Y - 01,16,8:30 AM - 9:45 AM,MR,ES
340,15651-15652,ES 105Y - 01,16,9:30 AM - 12:10 PM,W,ES
341,15659-15661,ES 201 - 01,15,9:55 AM - 11:10 AM,MR,ES
342,15660-15662,ES 201 - L01,7,1:30 PM - 4:30 PM,W,ES
343,15833-15834,ES 201 - L02,8,2:20 PM - 5:20 PM,R,ES
344,11284-11285,ES 214 - 01,27,11:20 AM - 12:35 PM,MR,ES
345,15706-15707,ES 233 - 01,33,8:30 AM - 9:45 AM,MR,ES
346,15603-15605,ES 247 - 01,10,8:30 AM - 9:45 AM,TF,ES
347,15604-15606,ES 247 - L01,10,8:30 AM - 12:00 PM,W,ES
348,15584-15585,ES 265 - 01,22,9:55 AM - 11:10 AM,MR,ES
349,15145-15174,ES 299 - 01,17,12:45 PM - 2:00 PM,TF,ES
350,15611-15612,ES 327 - 01,15,2:10 PM - 4:50 PM,T,ES
351,15615-15617,ES 347 - 01,4,8:30 AM - 9:45 AM,TF,ES
352,15616-15618,ES 347 - L01,4,8:30 AM - 12:00 PM,W,ES
353,15044,ES 398 - 01,5,9:55 AM - 11:10 AM,TF,ES
354,15148,EXTD 123 - 01,2,5:30 PM - 8:30 PM,R,EXTD
355,10054,FREN 101 - 01,16,9:55 AM - 11:10 AM 10:30 AM - 11:20 AM,TF W,FREN
356,10116,FREN 101 - 02,18,9:55 AM - 11:10 AM 10:30 AM - 11:20 AM,MR W,FREN
357,10008,FREN 201 - 01,14,12:45 PM - 2:00 PM 1:30 PM - 2:20 PM,TF W,FREN
358,10051,FREN 201 - 02,18,11:20 AM - 12:35 PM 11:30 AM - 12:20 PM,MR W,FREN
359,15269,FREN 201 - 03,10,3:45 PM - 5:00 PM 3:30 PM - 4:20 PM,MR W,FREN
360,15653,FREN 202 - 01,15,8:30 AM - 9:45 AM 8:30 AM - 9:20 AM,TF W,FREN
361,11167,FREN 205 - 01,11,11:20 AM - 12:35 PM,TF,FREN
362,10039,FREN 206 - 01,9,12:45 PM - 2:00 PM,TF,FREN
363,10081,FREN 206 - 02,10,2:10 PM - 3:25 PM,TF,FREN
364,14550,FREN 207 - 01,10,2:20 PM - 3:35 PM,MR,FREN
365,12697,FREN 209 - 01,12,9:55 AM - 11:10 AM,MR,FREN
366,15654,FREN 212 - 01,15,3:45 PM - 5:00 PM,MR,FREN
367,15655,FREN 218 - 01,12,11:20 AM - 12:35 PM,TF,FREN
368,15656,FREN 229 - 01,9,9:55 AM - 11:10 AM,TF,FREN
369,15657-15830,FREN 300 - 01,9,11:20 AM - 12:35 PM,MR,FREN
370,15658,FREN 306 - 01,5,2:20 PM - 3:35 PM,MR,FREN
371,12193,GEOS 102 - 01,31,9:55 AM - 11:10 AM,MR,GEOS
372,15270,GEOS 102 - 02,29,9:55 AM - 11:10 AM,TF,GEOS
373,12191,GEOS 102 - L01,13,1:00 PM - 4:00 PM,M,GEOS
374,12196,GEOS 102 - L02,12,1:00 PM - 4:00 PM,T,GEOS
375,15271,GEOS 102 - L03,12,9:00 AM - 12:00 PM,W,GEOS
376,15272,GEOS 102 - L04,11,1:30 PM - 4:30 PM,W,GEOS
377,15273,GEOS 102 - L05,12,2:20 PM - 5:20 PM,R,GEOS
378,15659-15661,GEOS 201 - 01,15,9:55 AM - 11:10 AM,MR,GEOS
379,15660-15662,GEOS 201 - L01,7,1:30 PM - 4:30 PM,W,GEOS
380,15833-15834,GEOS 201 - L02,8,2:20 PM - 5:20 PM,R,GEOS
381,14554,GEOS 203 - 01,8,8:30 AM - 11:10 AM,TF,GEOS
382,15664,GEOS 218 - 01,6,11:20 AM - 12:35 PM,MR,GEOS
383,15665,GEOS 218 - L01,6,1:00 PM - 4:00 PM,M,GEOS
384,10156,GER 101 - 01,13,9:55 AM - 11:10 AM 10:30 AM - 11:20 AM,TF W,GER
385,10153,GER 101 - 02,11,11:20 AM - 12:35 PM 12:30 PM - 1:20 PM,TF W,GER
386,10138,GER 201 - 01,9,9:55 AM - 11:10 AM 9:30 AM - 10:20 AM,MR W,GER
387,11164,GER 201 - 02,15,11:20 AM - 12:35 PM 11:30 AM - 12:20 PM,MR W,GER
388,15666,GER 231 - 01,9,8:30 AM - 9:45 AM,MR,GER
389,15667,GER 386 - 01,4,1:30 PM - 4:10 PM,W,GER
390,10194,GRK 101 - 01,9,9:55 AM - 11:10 AM 10:30 AM - 11:20 AM,TF W,GRK
391,11579,GRK 201 - 01,4,11:30 AM - 12:20 PM 12:45 PM - 1:35 PM 1:30 PM - 2:20 PM,F T W,GRK
392,15626,GRK 311 - 01,3,12:45 PM - 2:00 PM,TF,GRK
393,10056,HEBR 101 - 01,1,9:55 AM - 11:10 AM 9:30 AM - 10:20 AM,MR W,HEBR
394,10119,HEBR 201 - 01,3,11:20 AM - 12:35 PM 11:30 AM - 12:20 PM,MR W,HEBR
395,15688,HEBR 301 - 01,6,8:30 AM - 9:45 AM,MR,HEBR
396,15669,HIST 116Y - 01,11,2:30 PM - 5:10 PM,W,HIST
397,15670,HIST 201 - 01,18,9:55 AM - 11:10 AM,MR,HIST
398,15671,HIST 203 - 01,13,11:20 AM - 12:35 PM,TF,HIST
399,11125,HIST 205 - 01,24,2:20 PM - 3:35 PM,MR,HIST
400,15672,HIST 214 - 01,8,9:55 AM - 11:10 AM,TF,HIST
401,15674,HIST 243 - 01,15,2:20 PM - 3:35 PM,MR,HIST
402,15675,HIST 245 - 01,25,9:55 AM - 11:10 AM,MR,HIST
403,15676,HIST 248 - 01,22,12:45 PM - 2:00 PM,TF,HIST
404,15677,HIST 253 - 01,20,2:10 PM - 3:25 PM,TF,HIST
405,15678,HIST 269 - 01,14,11:20 AM - 12:35 PM,MR,HIST
406,15680,HIST 270 - 01,20,11:20 AM - 12:35 PM,MR,HIST
407,15679,HIST 279 - 01,5,11:20 AM - 12:35 PM,TF,HIST
408,15681,HIST 280 - 01,25,12:45 PM - 2:00 PM,TF,HIST
409,15682-15862,HIST 293 - 01,23,2:10 PM - 3:25 PM,TF,HIST
410,15145-15174,HIST 299 - 01,17,12:45 PM - 2:00 PM,TF,HIST
411,15683,HIST 311 - 01,11,9:30 AM - 12:10 PM,W,HIST
412,15780-15814,HIST 369 - 01,15,6:00 PM - 8:40 PM,T,HIST
413,15684,HIST 379 - 01,2,11:20 AM - 12:35 PM,TF,HIST
414,15685,HIST 383 - 01,15,6:30 PM - 9:10 PM,M,HIST
415,11403,HNUR 101 - 01,7,8:30 AM - 9:45 AM 6:20 PM - 7:10 PM,TF W,HNUR
416,11404,HNUR 201 - 01,5,8:30 AM - 9:45 AM 11:20 AM - 12:35 PM,MR R,HNUR
417,10938,ITAS 101 - 01,7,8:30 AM - 9:45 AM 8:30 AM - 9:20 AM,MR W,ITAS
418,10939,ITAS 101 - 02,9,11:20 AM - 12:35 PM 12:30 PM - 1:20 PM,TF W,ITAS
419,11246,ITAS 103 - 01,15,3:45 PM - 5:00 PM 3:30 PM - 4:45 PM,MR W,ITAS
420,10940,ITAS 201 - 01,4,9:55 AM - 11:10 AM 9:30 AM - 10:20 AM,MR W,ITAS
421,14041,ITAS 201 - 02,10,2:20 PM - 3:35 PM 2:30 PM - 3:20 PM,MR W,ITAS
422,15812,ITAS 263 - 01,7,12:45 PM - 2:00 PM,TF,ITAS
423,15810,ITAS 271 - 01,6,9:55 AM - 11:10 AM,TF,ITAS
424,15811,ITAS 349 - 01,4,1:30 PM - 4:10 PM,W,ITAS
425,10201,JPN 101 - 01,14,8:30 AM - 9:45 AM,MTRF,JPN
426,10202,JPN 101 - 02,12,9:55 AM - 11:10 AM,MTRF,JPN
427,10203,JPN 201 - 01,5,2:20 PM - 3:35 PM 2:10 PM - 3:25 PM,MR TF,JPN
428,14040,JPN 201 - 02,9,11:20 AM - 12:35 PM,MTRF,JPN
429,10199,JPN 231 - 01,12,11:20 AM - 12:35 PM 12:30 PM - 1:20 PM,TF W,JPN
430,15179,JPN 290 - 01,10,2:20 PM - 3:35 PM,MR,JPN
431,15840,JPN 314 - 01,8,11:20 AM - 12:35 PM,TF,JPN
432,11265,KOR 101 - 01,14,8:30 AM - 9:45 AM,MTRF,KOR
433,15306,KOR 101 - 02,14,9:55 AM - 11:10 AM,MTRF,KOR
434,11266,KOR 201 - 01,14,9:55 AM - 11:10 AM 9:55 AM - 11:10 AM,MR TF,KOR
